local-fog-node1-1,166.35%,0.54%,5.75kB / 0B
local-fog-node3-1,157.62%,0.62%,5.75kB / 0B
local-fog_client_run_238cb0a607ec,165.84%,0.47%,5.23kB / 0B
local-fog-cloud-1,170.39%,0.73%,6.09kB / 0B
local-fog-node2-1,134.54%,0.73%,5.91kB / 0B
local-fog-node1-1,158.26%,0.68%,5.91kB / 0B
local-fog-node3-1,150.59%,0.65%,5.91kB / 0B
local-fog_client_run_238cb0a607ec,170.40%,0.37%,5.39kB / 0B
local-fog-cloud-1,170.39%,0.73%,6.09kB / 0B
local-fog-node2-1,134.54%,0.73%,5.91kB / 0B
local-fog-node1-1,158.26%,0.68%,5.91kB / 0B
local-fog-node3-1,150.59%,0.65%,5.91kB / 0B
local-fog_client_run_238cb0a607ec,170.40%,0.37%,5.39kB / 0B
local-fog-cloud-1,141.19%,0.85%,6.09kB / 0B
local-fog-node2-1,164.37%,0.65%,5.91kB / 0B
local-fog-node1-1,150.96%,0.59%,5.91kB / 0B
local-fog-node3-1,182.50%,0.61%,5.91kB / 0B
local-fog_client_run_238cb0a607ec,150.87%,0.53%,5.39kB / 0B
local-fog-cloud-1,141.19%,0.85%,6.09kB / 0B
local-fog-node2-1,164.37%,0.65%,5.91kB / 0B
local-fog-node1-1,150.96%,0.59%,5.91kB / 0B
local-fog-node3-1,182.50%,0.61%,5.91kB / 0B
local-fog_client_run_238cb0a607ec,150.87%,0.53%,5.39kB / 0B
local-fog-cloud-1,167.16%,0.44%,6.09kB / 0B
local-fog-node2-1,190.79%,0.80%,5.91kB / 0B
local-fog-node1-1,160.08%,0.74%,5.91kB / 0B
local-fog-node3-1,135.26%,0.70%,5.98kB / 0B
local-fog_client_run_238cb0a607ec,138.35%,0.48%,5.39kB / 0B
local-fog-cloud-1,167.16%,0.44%,6.09kB / 0B
local-fog-node2-1,190.79%,0.80%,5.91kB / 0B
local-fog-node1-1,160.08%,0.74%,5.91kB / 0B
local-fog-node3-1,135.26%,0.70%,5.98kB / 0B
local-fog_client_run_238cb0a607ec,138.35%,0.48%,5.39kB / 0B
local-fog-cloud-1,172.38%,0.62%,6.28kB / 0B
local-fog-node2-1,158.30%,0.55%,6.16kB / 0B
local-fog-node1-1,157.58%,0.53%,6.16kB / 0B
local-fog-node3-1,150.57%,0.53%,6.16kB / 0B
local-fog_client_run_238cb0a607ec,138.35%,0.48%,5.39kB / 0B
local-fog-cloud-1,172.38%,0.62%,6.28kB / 0B
local-fog-node2-1,158.30%,0.55%,6.16kB / 0B
local-fog-node1-1,157.58%,0.53%,6.16kB / 0B
local-fog-node3-1,150.57%,0.53%,6.16kB / 0B
local-fog_client_run_238cb0a607ec,153.51%,0.62%,5.57kB / 0B
local-fog-cloud-1,172.38%,0.62%,6.28kB / 0B
local-fog-node2-1,158.30%,0.55%,6.16kB / 0B
local-fog-node1-1,157.58%,0.53%,6.16kB / 0B
local-fog-node3-1,150.57%,0.53%,6.16kB / 0B
local-fog_client_run_238cb0a607ec,153.51%,0.62%,5.57kB / 0B
local-fog-cloud-1,153.68%,0.69%,6.35kB / 0B
local-fog-node2-1,120.95%,0.28%,6.16kB / 0B
local-fog-node1-1,147.94%,0.63%,6.16kB / 0B
local-fog-node3-1,181.16%,0.66%,6.16kB / 0B
local-fog_client_run_238cb0a607ec,182.44%,0.79%,5.57kB / 0B
local-fog-cloud-1,153.68%,0.69%,6.35kB / 0B
local-fog-node2-1,120.95%,0.28%,6.16kB / 0B
local-fog-node1-1,147.94%,0.63%,6.16kB / 0B
local-fog-node3-1,181.16%,0.66%,6.16kB / 0B
local-fog_client_run_238cb0a607ec,182.44%,0.79%,5.57kB / 0B
local-fog-cloud-1,137.33%,0.26%,6.35kB / 0B
local-fog-node2-1,128.64%,0.20%,6.16kB / 0B
local-fog-node1-1,140.87%,0.30%,6.16kB / 0B
local-fog-node3-1,158.97%,0.31%,6.16kB / 0B
local-fog_client_run_238cb0a607ec,216.09%,0.59%,5.64kB / 0B
local-fog-cloud-1,137.33%,0.26%,6.35kB / 0B
local-fog-node2-1,128.64%,0.20%,6.16kB / 0B
local-fog-node1-1,140.87%,0.30%,6.16kB / 0B
local-fog-node3-1,158.97%,0.31%,6.16kB / 0B
local-fog_client_run_238cb0a607ec,216.09%,0.59%,5.64kB / 0B
local-fog-cloud-1,164.93%,0.33%,6.75kB / 0B
local-fog-node2-1,148.94%,0.34%,6.57kB / 0B
local-fog-node1-1,138.03%,0.29%,6.57kB / 0B
local-fog-node3-1,142.34%,0.38%,6.57kB / 0B
local-fog_client_run_238cb0a607ec,170.47%,0.22%,5.85kB / 0B
local-fog-cloud-1,164.93%,0.33%,6.75kB / 0B
local-fog-node2-1,148.94%,0.34%,6.57kB / 0B
local-fog-node1-1,138.03%,0.29%,6.57kB / 0B
local-fog-node3-1,142.34%,0.38%,6.57kB / 0B
local-fog_client_run_238cb0a607ec,170.47%,0.22%,5.85kB / 0B
local-fog-cloud-1,161.05%,0.32%,6.75kB / 0B
